address,distributed_amount
0x2554907fb7614e51d5e298b5aa8653ce598ccef6,2233.48
0x3938f63158de24fdedb8f8953db13bd581118f89,2232.56
0x1f74e4c5470a56d41f7ad0d6429732c2b022a328,2212.42
0x639d20f70bcc01a25355720ef6590beab6e4a0e7,2180.39
0xcb659368fbf0a4a5791442997d8012f8ced8595e,2160.52
0xf9595e27bbeb2fc5bbe96d10ff0179af9f8c9338,2158.56
0xfa0c409e4f88807a96cced2accf116cc1649c425,2147.13
0x949666ee5d1be779801e4a02e90f1a2d9cb1835b,2138.76
0x92fa985035b69635b0e99cad8cd08c3252be9376,2123.44
0xb2e933c68efe4e0940ab4f3c6e322b93c9bfb59a,2096.06
0x3dcd4e268e50934fb229f4bc15fa5ee1a091c5d9,2095.20
0x37c32ef3fc7157196cf05f618cd42b1a74c7d2f6,2075.87
0x755c5b4114da483cb69ab6239f02ff2bc4e01e54,2033.84
0xe4446f15fd34b8adbcc695e89260ec38c18850ec,2019.21
0xee7e78add6478d8d520a1001b5edcaafd30a5a8e,2003.96
0x97286d6dc800041ab1fea3345c76feff91d17264,2002.44
0xd83551b29d0da46c9b6d105ef359e23aaf46e764,2000.73
0x2dc6c3f16e024b4689fba4423a24d21a11272f04,1957.67
0x7efd4df43213fedc3175be1461b624fcd3e17f8b,1948.03
0x8684cfec578ee0b4c95c2c34e5612f1bbb8e5ec4,1944.67
0x66364bef617514b745339d67f981b0f3de0463f2,1943.64
0x0446a648d99a28e50779fdfca01c005150ae52be,1921.42
0x12200c59813111204441339886d2835a4089bd1a,1919.70
0x9d63dbed61abbbcc0c63b5bc10c4bcc44f05dc39,1874.45
0x957a591c2afd9732758652263f04e81e4b90f381,1860.23
0xd2223d02a9167eaeaa6991ded203f50c94c0aab0,1859.10
0x46a929e95c585e23d411b452ca14568da143901b,1854.97
0x38abf697d5be7290b5c3ff88ef9928df45fd15fc,1839.98
0x804833c7dcbca217a04eccf0b36ab940555d129e,1836.57
0xe93381fb4c4f14bda253907b18fad305d799241a,1835.36
0x4a5b1103efd21e4aca58292d4d54313c2aeb1269,1818.57
0x106ebeb47ad365ed8dca7a25e6493ac2dbf2c304,1813.50
0xf00ba391c93873af0895184607c9396a56a38ef4,1807.53
0xe83146335a6fc2efc5a8a714a39532af0730e66a,1796.05
0x41f6b0583212af2092207e2dcfbb388a6428d4ac,1785.39
0xc89b0cd861ac65aac8daef20b62b530d41f401b1,1778.03
0xe61c496950559983dbf89ba36162b77bb21217e3,1775.08
0xb178eeb7beddfef3bfb9ef732592943917f60638,1764.39
0x0adaae7fc6af327fb21c28b774e0fe0b81a9106c,1760.68
0x202a4a99ab3833528e2dda446730e95cb004093e,1745.47
0xba37cdc1d2755382479826692073fc1bfcba2af4,1741.27
0x91fe6665b806b2389c258093bfd9f8cbd2da584c,1738.79
0x17e0e1c4442ea39eb8cf20ab01e5060671e6f608,1728.43
0x006df2afaafd3df1e601c9561e5a3f6ba333fd8d,1714.68
0x49477a544172d1191f4c8b619cb7bb9bc45dff6d,1684.30
0xbd013cd40ffc0fcd8ad3f4453a1181d0d8eed4ed,1678.27
